hidden_size,num_layers,dropout,lr,final_val_loss,min_val_loss,avg_val_loss_last5
128,2,0.1,0.0001,7.447120607,7.079727471,7.634000278
128,2,0.1,0.0005,7.215488911,6.737033904,7.296611643
128,2,0.1,0.001,7.228540987,6.665308923,7.11881308
256,2,0.1,0.0001,6.831918061,6.805524468,7.048766738
256,2,0.1,0.001,7.787612736,6.835975945,7.416207632
512,2,0.1,0.0001,6.403023139,6.403023139,6.888253003
512,2,0.1,0.0005,7.427602798,7.176911369,7.380014193
512,2,0.1,0.001,7.602980852,7.262611806,7.747004491
128,4,0.1,0.0001,6.833760202,6.833760202,7.49045856
128,4,0.1,0.001,7.220605016,6.864571527,7.459218252
128,4,0.1,0.0005,7.137418598,6.482975423,6.876598445
256,4,0.1,0.0001,7.17741701,6.67873992,7.079217747
256,4,0.1,0.001,7.635926932,7.182210892,7.491523546
256,4,0.1,0.005,7.50753057,7.414561987,7.556134248
512,4,0.1,0.0001,7.161946207,6.969648272,7.092204139
512,4,0.1,0.0005,7.977293491,7.352600664,7.755990863
512,4,0.1,0.001,7.931487441,7.138651699,7.679695511
128,8,0.1,0.0001,7.339830637,7.256870806,7.434062189
128,8,0.1,0.0005,6.922556758,6.763859361,7.224244368
128,8,0.1,0.001,7.323345631,7.222882301,7.485006106
256,8,0.1,0.0001,7.742318809,6.731309235,7.240213707
256,8,0.1,0.0005,7.720159441,7.053466916,7.560067487
256,8,0.1,0.001,7.694512933,7.569695511,7.734209388
512,8,0.1,0.0001,7.824840665,6.934435338,7.29090333
512,8,0.1,0.0005,7.36359334,6.750365943,7.564568979
512,8,0.1,0.001,7.870999426,7.610562533,7.91439141
128,2,0.2,0.0001,7.191488296,7.191488296,7.696446943
128,2,0.2,0.0005,7.261304095,6.762792259,7.238377553
128,2,0.2,0.001,6.979786634,6.733972281,7.075785273
256,2,0.2,0.0005,6.644353285,6.420207009,6.95553773
256,2,0.2,0.0001,6.82463333,6.82463333,7.120017177
256,2,0.2,0.001,7.631912798,7.18950814,7.605807883
512,2,0.2,0.001,7.059666783,6.80769515,7.418971172
512,2,0.2,0.0001,6.890939385,6.890939385,7.129936725
512,2,0.2,0.0005,7.013902783,6.514723599,7.061102301
128,4,0.2,0.0001,7.404097021,7.185130864,7.639387387
128,4,0.2,0.0005,7.029643893,6.835740238,7.112096715
128,4,0.2,0.001,6.815968931,6.815968931,7.095557582
256,4,0.2,0.0005,7.277153701,6.650664777,7.250538737
256,4,0.2,0.0001,6.886156201,6.886156201,7.107382506
256,4,0.2,0.001,7.165415466,6.820626348,7.43655977
512,4,0.2,0.0001,7.087905109,6.790225476,7.202931273
512,4,0.2,0.001,8.218466192,7.081954092,7.676700884
512,4,0.2,0.0005,6.78344059,6.78344059,7.498486376
128,8,0.2,0.0001,7.577290207,7.153565079,7.637605637
128,8,0.2,0.001,7.60049361,6.763448805,7.582739088
128,8,0.2,0.0005,7.739563257,6.838350415,7.51488753
256,8,0.2,0.001,7.606049836,7.298954338,7.477289071
256,8,0.2,0.0001,6.799375534,6.799375534,7.16938141
256,8,0.2,0.0005,7.571330741,7.071787089,7.516689542
512,8,0.2,0.0001,7.262901038,6.447335914,6.982459715
512,8,0.2,0.0005,6.698483348,6.698483348,7.407591653
512,8,0.2,0.001,7.9833287,7.110886171,7.874487713
